,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
7492,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mirassolândia,São José do Rio Preto
7493,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mirassolândia,São José do Rio Preto
7494,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mirassolândia,São José do Rio Preto
7495,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mirassolândia,São José do Rio Preto
7496,FURTO - OUTROS,2.0,1.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Mirassolândia,São José do Rio Preto
7497,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mirassolândia,São José do Rio Preto
7498,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7499,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7500,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7501,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7502,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7503,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7504,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7505,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7506,LESÃO CORPORAL DOLOSA,3.0,0.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2022,Monções,São José do Rio Preto
7507,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monções,São José do Rio Preto
7508,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7509,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7510,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7511,TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7512,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7513,ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7514,TOTAL DE ROUBO - OUTROS (1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7515,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7516,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7517,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7518,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7519,FURTO - OUTROS,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monções,São José do Rio Preto
7520,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monções,São José do Rio Preto
7521,HOMICÍDIO DOLOSO (2),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7522,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7523,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7524,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7525,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Monte Aprazível,São José do Rio Preto
7526,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7527,TENTATIVA DE HOMICÍDIO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7528,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7529,LESÃO CORPORAL DOLOSA,9.0,5.0,6.0,...,...,...,...,...,...,...,...,...,20.0,2022,Monte Aprazível,São José do Rio Preto
7530,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4.0,4.0,5.0,...,...,...,...,...,...,...,...,...,13.0,2022,Monte Aprazível,São José do Rio Preto
7531,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7532,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7533,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7534,TOTAL DE ESTUPRO (4),3.0,1.0,0.0,...,...,...,...,...,...,...,...,...,4.0,2022,Monte Aprazível,São José do Rio Preto
7535,ESTUPRO,2.0,1.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Monte Aprazível,São José do Rio Preto
7536,ESTUPRO DE VULNERÁVEL,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7537,TOTAL DE ROUBO - OUTROS (1),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7538,ROUBO - OUTROS,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Monte Aprazível,São José do Rio Preto
7539,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7540,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7541,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Monte Aprazível,São José do Rio Preto
7542,FURTO - OUTROS,24.0,18.0,16.0,...,...,...,...,...,...,...,...,...,58.0,2022,Monte Aprazível,São José do Rio Preto
7543,FURTO DE VEÍCULO,0.0,2.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2022,Monte Aprazível,São José do Rio Preto
7544,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7545,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7546,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7547,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7548,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7549,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7550,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7551,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7552,LESÃO CORPORAL DOLOSA,2.0,3.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2022,Neves Paulista,São José do Rio Preto
7553,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Neves Paulista,São José do Rio Preto
7554,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7555,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7556,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7557,TOTAL DE ESTUPRO (4),0.0,0.0,3.0,...,...,...,...,...,...,...,...,...,3.0,2022,Neves Paulista,São José do Rio Preto
7558,ESTUPRO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Neves Paulista,São José do Rio Preto
7559,ESTUPRO DE VULNERÁVEL,0.0,0.0,2.0,...,...,...,...,...,...,...,...,...,2.0,2022,Neves Paulista,São José do Rio Preto
7560,TOTAL DE ROUBO - OUTROS (1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7561,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7562,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7563,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7564,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7565,FURTO - OUTROS,6.0,7.0,4.0,...,...,...,...,...,...,...,...,...,17.0,2022,Neves Paulista,São José do Rio Preto
7566,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Neves Paulista,São José do Rio Preto
7567,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7568,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7569,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7570,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7571,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7572,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7573,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7574,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7575,LESÃO CORPORAL DOLOSA,1.0,2.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Nhandeara,São José do Rio Preto
7576,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1.0,3.0,5.0,...,...,...,...,...,...,...,...,...,9.0,2022,Nhandeara,São José do Rio Preto
7577,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7578,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7579,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7580,TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7581,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7582,ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7583,TOTAL DE ROUBO - OUTROS (1),0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nhandeara,São José do Rio Preto
7584,ROUBO - OUTROS,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nhandeara,São José do Rio Preto
7585,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7586,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7587,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nhandeara,São José do Rio Preto
7588,FURTO - OUTROS,6.0,3.0,5.0,...,...,...,...,...,...,...,...,...,14.0,2022,Nhandeara,São José do Rio Preto
7589,FURTO DE VEÍCULO,2.0,0.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2022,Nhandeara,São José do Rio Preto
7590,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7591,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7592,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7593,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7594,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7595,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7596,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7597,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7598,LESÃO CORPORAL DOLOSA,2.0,2.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Nipoã,São José do Rio Preto
7599,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7600,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7601,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7602,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7603,TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7604,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7605,ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7606,TOTAL DE ROUBO - OUTROS (1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7607,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7608,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7609,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7610,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nipoã,São José do Rio Preto
7611,FURTO - OUTROS,3.0,1.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Nipoã,São José do Rio Preto
7612,FURTO DE VEÍCULO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Nipoã,São José do Rio Preto
7613,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7614,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7615,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7616,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7617,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7618,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7619,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7620,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7621,LESÃO CORPORAL DOLOSA,1.0,1.0,5.0,...,...,...,...,...,...,...,...,...,7.0,2022,Nova Aliança,São José do Rio Preto
7622,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7623,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7624,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7625,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7626,TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7627,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7628,ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7629,TOTAL DE ROUBO - OUTROS (1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7630,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7631,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7632,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7633,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7634,FURTO - OUTROS,0.0,3.0,3.0,...,...,...,...,...,...,...,...,...,6.0,2022,Nova Aliança,São José do Rio Preto
7635,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Aliança,São José do Rio Preto
7636,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7637,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7638,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7639,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7640,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7641,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7642,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7643,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7644,LESÃO CORPORAL DOLOSA,1.0,1.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2022,Nova Canaã Paulista,São José do Rio Preto
7645,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nova Canaã Paulista,São José do Rio Preto
7646,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7647,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7648,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7649,TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7650,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7651,ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7652,TOTAL DE ROUBO - OUTROS (1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7653,ROUBO - OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7654,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7655,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7656,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7657,FURTO - OUTROS,2.0,1.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Nova Canaã Paulista,São José do Rio Preto
7658,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Canaã Paulista,São José do Rio Preto
7659,HOMICÍDIO DOLOSO (2),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nova Granada,São José do Rio Preto
7660,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nova Granada,São José do Rio Preto
7661,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Granada,São José do Rio Preto
7662,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Granada,São José do Rio Preto
7663,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nova Granada,São José do Rio Preto
7664,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Granada,São José do Rio Preto
7665,TENTATIVA DE HOMICÍDIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Nova Granada,São José do Rio Preto
7666,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Nova Granada,São José do Rio Preto
7667,LESÃO CORPORAL DOLOSA,2.0,6.0,3.0,...,...,...,...,...,...,...,...,...,11.0,2022,Nova Granada,São José do Rio Preto
